case_id,article_id,start,end,surface_text,is_range,value,range_low,range_high,unit,unit_norm,unit_category,linked_entity_start,linked_entity_end,linked_entity_surface,linked_entity_type,link_method,linked_entity_cui,linked_entity_id
PMC11722600_02,PMC11722600,750,757,85 mg/L,False,85,,,mg/L,mg/l,lab_concentration,737,740,mm3,Finding,same_sentence,C3842088,concept:C3842088
PMC11722600_02,PMC11722600,763,770,5 mg/dL,False,5,,,mg/dL,mg/dl,lab_concentration,737,740,mm3,Finding,same_sentence,C3842088,concept:C3842088
PMC11722600_02,PMC11722600,906,911,17 mm,False,17,,,mm,mm,length,887,895,appendix,BodyPart,same_sentence,C0003617,concept:C0003617
PMC11722600_02,PMC11722600,1782,1788,7 days,False,7,,,days,days,time,1639,1645,pelvis,BodyPart,window_fallback,C0030797,concept:C0030797
PMC11722600_02,PMC11722600,1967,1975,6 months,False,6,,,months,months,time,1979,1991,follow-up CT,Exam,same_sentence_forward,C0202657,concept:C0202657
PMC11722600_02,PMC11722600,2522,2528,2.5 cm,False,2.5,,,cm,cm,length,2481,2489,appendix,BodyPart,same_sentence,C0003617,concept:C0003617
PMC11722600_02,PMC11722600,2553,2558,45 mm,False,45,,,mm,mm,length,2481,2489,appendix,BodyPart,same_sentence,C0003617,concept:C0003617
PMC11723754_01,PMC11723754,295,298,3cm,False,3,,,cm,cm,length,276,289,sacral region,BodyPart,same_sentence,C0036033,concept:C0036033
PMC11723754_01,PMC11723754,1101,1106,7g/dl,False,7,,,g/dl,g/dl,lab_concentration,1071,1082,transfusion,Treatment,same_sentence,C1879316,concept:C1879316
PMC11723754_01,PMC11723754,1232,1237,day 3,False,3,,,day,day,time,1214,1227,Noradrenaline,Treatment,window_fallback,C0028351,concept:C0028351
PMC11783470_01,PMC11783470,419,428,11.5 g/dL,False,11.5,,,g/dL,g/dl,lab_concentration,430,452,transferrin saturation,Exam,same_sentence_forward,C1277709,concept:C1277709
PMC11783470_01,PMC11783470,453,458,12.8%,False,12.8,,,%,%,percentage,430,452,transferrin saturation,Exam,same_sentence,C1277709,concept:C1277709
PMC11783470_01,PMC11783470,469,478,200 ng/mL,False,200,,,ng/mL,ng/ml,lab_concentration,460,468,ferritin,Treatment,same_sentence,C0015879,concept:C0015879
PMC11783470_01,PMC11783470,489,498,76 mcg/dL,False,76,,,mcg/dL,mcg/dl,lab_concentration,484,488,iron,Treatment,same_sentence,C0302583,concept:C0302583
PMC11783470_01,PMC11783470,568,571,20%,False,20,,,%,%,percentage,544,566,transferrin saturation,Exam,same_sentence,C1277709,concept:C1277709
PMC11783470_01,PMC11783470,731,735,7-mm,False,7,,,mm,mm,length,743,749,lesion,Finding,same_sentence_forward,C0221198,concept:C0221198
PMC11783470_01,PMC11783470,1661,1669,3 months,False,3,,,months,months,time,1690,1700,recurrence,Diagnosis,same_sentence_forward,C2825055,concept:C2825055
PMC12215201_01,PMC12215201,129,137,2 months,False,2,,,months,months,time,40,60,past medical history,Finding,same_sentence,C0455458,concept:C0455458
PMC12215201_01,PMC12215201,850,858,6.1 g/dL,False,6.1,,,g/dL,g/dl,lab_concentration,860,874,platelet count,Exam,same_sentence_forward,C0032181,concept:C0032181
PMC12215201_01,PMC12215201,905,914,3.2 mg/dL,False,3.2,,,mg/dL,mg/dl,lab_concentration,889,904,total bilirubin,Exam,same_sentence,C0201913,concept:C0201913
PMC12215201_01,PMC12215201,937,945,315 IU/L,False,315,,,IU/L,iu/l,lab_concentration,889,904,total bilirubin,Exam,same_sentence,C0201913,concept:C0201913
PMC12215201_01,PMC12215201,951,959,305 IU/L,False,305,,,IU/L,iu/l,lab_concentration,889,904,total bilirubin,Exam,same_sentence,C0201913,concept:C0201913
PMC12215201_01,PMC12215201,965,973,209 IU/L,False,209,,,IU/L,iu/l,lab_concentration,889,904,total bilirubin,Exam,same_sentence,C0201913,concept:C0201913
